Datum;Uhrzeit;8:00 Uhr Prognose [MW];Online Hochrechnung [MW]
08.02.2016;13:30 - 13:45;5641;6096
08.02.2016;13:45 - 14:00;5626;6147
08.02.2016;14:00 - 14:15;5621;6123
08.02.2016;14:15 - 14:30;5649;6070
08.02.2016;14:30 - 14:45;5687;6148
08.02.2016;14:45 - 15:00;5712;6018
08.02.2016;15:00 - 15:15;5720;5982
08.02.2016;15:15 - 15:30;5728;6027
08.02.2016;15:30 - 15:45;5735;6070
08.02.2016;15:45 - 16:00;5738;6114
08.02.2016;16:00 - 16:15;5734;6099
08.02.2016;16:15 - 16:30;5737;6054
08.02.2016;16:30 - 16:45;5742;6043
08.02.2016;16:45 - 17:00;5743;6081
08.02.2016;17:00 - 17:15;5743;6109
08.02.2016;17:15 - 17:30;5756;6059
08.02.2016;17:30 - 17:45;5790;6173
08.02.2016;17:45 - 18:00;5819;6342
08.02.2016;18:00 - 18:15;5831;6394
08.02.2016;18:15 - 18:30;5829;6507
08.02.2016;18:30 - 18:45;5827;6510
08.02.2016;18:45 - 19:00;5822;6527
08.02.2016;19:00 - 19:15;5815;6587
08.02.2016;19:15 - 19:30;5811;6660
08.02.2016;19:30 - 19:45;5801;6676
08.02.2016;19:45 - 20:00;5789;6662
08.02.2016;20:00 - 20:15;5779;6644
08.02.2016;20:15 - 20:30;5781;6660
08.02.2016;20:30 - 20:45;5793;6598
08.02.2016;20:45 - 21:00;5801;6556
08.02.2016;21:00 - 21:15;5801;6586
08.02.2016;21:15 - 21:30;5783;6562
08.02.2016;21:30 - 21:45;5747;6540
08.02.2016;21:45 - 22:00;5704;6575
08.02.2016;22:00 - 22:15;5678;6278
08.02.2016;22:15 - 22:30;5661;6251
08.02.2016;22:30 - 22:45;5636;6230
08.02.2016;22:45 - 23:00;5613;6230
08.02.2016;23:00 - 23:15;5594;6250
08.02.2016;23:15 - 23:30;5581;6224
08.02.2016;23:30 - 23:45;5568;6220
08.02.2016;23:45 - 00:00;5544;6270
09.02.2016;00:00 - 00:15;5512;6297
09.02.2016;00:15 - 00:30;5474;6243
09.02.2016;00:30 - 00:45;5429;6258
09.02.2016;00:45 - 01:00;5389;6231
09.02.2016;01:00 - 01:15;5362;6232
09.02.2016;01:15 - 01:30;5352;6205
09.02.2016;01:30 - 01:45;5343;6197
09.02.2016;01:45 - 02:00;5327;6169
09.02.2016;02:00 - 02:15;5298;6126
09.02.2016;02:15 - 02:30;5252;6101
09.02.2016;02:30 - 02:45;5188;6027
09.02.2016;02:45 - 03:00;5119;6005
09.02.2016;03:00 - 03:15;5069;5963
09.02.2016;03:15 - 03:30;5025;5891
09.02.2016;03:30 - 03:45;4954;5786
09.02.2016;03:45 - 04:00;4877;5776
09.02.2016;04:00 - 04:15;4814;5681
09.02.2016;04:15 - 04:30;4726;5584
09.02.2016;04:30 - 04:45;4590;5560
09.02.2016;04:45 - 05:00;4448;5507
09.02.2016;05:00 - 05:15;4348;5466
09.02.2016;05:15 - 05:30;4272;5401
09.02.2016;05:30 - 05:45;4177;5402
09.02.2016;05:45 - 06:00;4083;5302
09.02.2016;06:00 - 06:15;4005;5369
09.02.2016;06:15 - 06:30;3909;5400
09.02.2016;06:30 - 06:45;3806;5373
09.02.2016;06:45 - 07:00;3693;5252
09.02.2016;07:00 - 07:15;3601;5077
09.02.2016;07:15 - 07:30;3514;4900
09.02.2016;07:30 - 07:45;3416;4704
09.02.2016;07:45 - 08:00;3319;4472
09.02.2016;08:00 - 08:15;3272;4207
09.02.2016;08:15 - 08:30;3256;3987
09.02.2016;08:30 - 08:45;3289;3858
09.02.2016;08:45 - 09:00;3308;3661
09.02.2016;09:00 - 09:15;3325;3557
09.02.2016;09:15 - 09:30;3349;3625
09.02.2016;09:30 - 09:45;3427;3602
09.02.2016;09:45 - 10:00;3458;3557
09.02.2016;10:00 - 10:15;3478;3450
09.02.2016;10:15 - 10:30;3531;3151
09.02.2016;10:30 - 10:45;3594;3011
09.02.2016;10:45 - 11:00;3642;3056
09.02.2016;11:00 - 11:15;3688;3309
09.02.2016;11:15 - 11:30;3778;3518
09.02.2016;11:30 - 11:45;3892;3683
09.02.2016;11:45 - 12:00;3977;3928
09.02.2016;12:00 - 12:15;4037;3945
09.02.2016;12:15 - 12:30;4168;4045
09.02.2016;12:30 - 12:45;4308;4088
09.02.2016;12:45 - 13:00;4474;4189
09.02.2016;13:00 - 13:15;4581;4395
09.02.2016;13:15 - 13:30;4565;4475
09.02.2016;13:30 - 13:45;4540;4570
09.02.2016;13:45 - 14:00;4470;4442
09.02.2016;14:00 - 14:15;4464;4543
09.02.2016;14:15 - 14:30;4492;4603
09.02.2016;14:30 - 14:45;4533;4684
09.02.2016;14:45 - 15:00;4476;4721
09.02.2016;15:00 - 15:15;4484;4763
09.02.2016;15:15 - 15:30;4463;4608
09.02.2016;15:30 - 15:45;4452;4511
09.02.2016;15:45 - 16:00;4487;4394
09.02.2016;16:00 - 16:15;4477;4478
09.02.2016;16:15 - 16:30;4455;4766
09.02.2016;16:30 - 16:45;4430;4755
09.02.2016;16:45 - 17:00;4371;4935
09.02.2016;17:00 - 17:15;4324;5021
09.02.2016;17:15 - 17:30;4301;5031
09.02.2016;17:30 - 17:45;4268;5142
09.02.2016;17:45 - 18:00;4226;5188
09.02.2016;18:00 - 18:15;4200;5375
09.02.2016;18:15 - 18:30;4225;5462
09.02.2016;18:30 - 18:45;4298;5599
09.02.2016;18:45 - 19:00;4332;5754
09.02.2016;19:00 - 19:15;4368;5844
09.02.2016;19:15 - 19:30;4390;5869
09.02.2016;19:30 - 19:45;4426;5826
09.02.2016;19:45 - 20:00;4446;5810
09.02.2016;20:00 - 20:15;4406;5685
09.02.2016;20:15 - 20:30;4401;5519
09.02.2016;20:30 - 20:45;4375;5324
09.02.2016;20:45 - 21:00;4395;5111
09.02.2016;21:00 - 21:15;4411;4914
09.02.2016;21:15 - 21:30;4438;4753
09.02.2016;21:30 - 21:45;4450;4632
09.02.2016;21:45 - 22:00;4445;4594
09.02.2016;22:00 - 22:15;4444;4445
09.02.2016;22:15 - 22:30;4424;4371
09.02.2016;22:30 - 22:45;4400;4303
09.02.2016;22:45 - 23:00;4368;4153
09.02.2016;23:00 - 23:15;4346;4005
09.02.2016;23:15 - 23:30;4314;3907
09.02.2016;23:30 - 23:45;4317;3814
09.02.2016;23:45 - 00:00;4259;3601
10.02.2016;00:00 - 00:15;2538;3459
10.02.2016;00:15 - 00:30;2503;3370
10.02.2016;00:30 - 00:45;2461;3269
10.02.2016;00:45 - 01:00;2425;3234
10.02.2016;01:00 - 01:15;2384;3178
10.02.2016;01:15 - 01:30;2367;3224
10.02.2016;01:30 - 01:45;2345;3163
10.02.2016;01:45 - 02:00;2330;3012
10.02.2016;02:00 - 02:15;2311;2872
10.02.2016;02:15 - 02:30;2300;2845
10.02.2016;02:30 - 02:45;2296;2950
10.02.2016;02:45 - 03:00;2300;3132
10.02.2016;03:00 - 03:15;2308;3225
10.02.2016;03:15 - 03:30;2319;3248
10.02.2016;03:30 - 03:45;2339;3234
10.02.2016;03:45 - 04:00;2358;3179
10.02.2016;04:00 - 04:15;2375;3174
10.02.2016;04:15 - 04:30;2403;3224
10.02.2016;04:30 - 04:45;2442;3300
10.02.2016;04:45 - 05:00;2485;3370
10.02.2016;05:00 - 05:15;2521;3400
10.02.2016;05:15 - 05:30;2516;3438
10.02.2016;05:30 - 05:45;2528;3459
10.02.2016;05:45 - 06:00;2542;3548
10.02.2016;06:00 - 06:15;2532;3628
10.02.2016;06:15 - 06:30;2574;3591
10.02.2016;06:30 - 06:45;2613;3632
10.02.2016;06:45 - 07:00;2666;3632
10.02.2016;07:00 - 07:15;2716;3589
10.02.2016;07:15 - 07:30;2747;3597
10.02.2016;07:30 - 07:45;2796;3616
10.02.2016;07:45 - 08:00;2855;3641
10.02.2016;08:00 - 08:15;2914;3657
10.02.2016;08:15 - 08:30;2978;3660
10.02.2016;08:30 - 08:45;3078;3615
10.02.2016;08:45 - 09:00;3180;3630
10.02.2016;09:00 - 09:15;3312;3625
10.02.2016;09:15 - 09:30;3386;3592
10.02.2016;09:30 - 09:45;3487;3522
10.02.2016;09:45 - 10:00;3586;3506
10.02.2016;10:00 - 10:15;3649;3443
10.02.2016;10:15 - 10:30;3693;3373
10.02.2016;10:30 - 10:45;3759;3342
10.02.2016;10:45 - 11:00;3817;3351
10.02.2016;11:00 - 11:15;3849;3359
10.02.2016;11:15 - 11:30;3861;3370
10.02.2016;11:30 - 11:45;3867;3341
10.02.2016;11:45 - 12:00;3846;3334
10.02.2016;12:00 - 12:15;3831;3337
10.02.2016;12:15 - 12:30;3830;3309
10.02.2016;12:30 - 12:45;3874;3327
10.02.2016;12:45 - 13:00;3881;3312
10.02.2016;13:00 - 13:15;3875;3313
10.02.2016;13:15 - 13:30;3891;3307
10.02.2016;13:30 - 13:45;3896;3324
10.02.2016;13:45 - 14:00;3904;3328
10.02.2016;14:00 - 14:15;3852;3284
10.02.2016;14:15 - 14:30;3839;3284
10.02.2016;14:30 - 14:45;3822;3265
10.02.2016;14:45 - 15:00;3802;3212
10.02.2016;15:00 - 15:15;3765;3237
10.02.2016;15:15 - 15:30;3749;3227
10.02.2016;15:30 - 15:45;3739;3256
10.02.2016;15:45 - 16:00;3741;3226
10.02.2016;16:00 - 16:15;3733;3160
10.02.2016;16:15 - 16:30;3718;3232
10.02.2016;16:30 - 16:45;3698;3279
10.02.2016;16:45 - 17:00;3676;3354
10.02.2016;17:00 - 17:15;3653;3315
10.02.2016;17:15 - 17:30;3628;3220
10.02.2016;17:30 - 17:45;3598;3114
10.02.2016;17:45 - 18:00;3579;3155
10.02.2016;18:00 - 18:15;3583;3237
10.02.2016;18:15 - 18:30;3560;3279
10.02.2016;18:30 - 18:45;3548;3320
10.02.2016;18:45 - 19:00;3507;3278
10.02.2016;19:00 - 19:15;3504;3307
10.02.2016;19:15 - 19:30;3486;3326
10.02.2016;19:30 - 19:45;3466;3370
10.02.2016;19:45 - 20:00;3448;3392
10.02.2016;20:00 - 20:15;3460;3410
10.02.2016;20:15 - 20:30;3445;3340
10.02.2016;20:30 - 20:45;3406;3240
10.02.2016;20:45 - 21:00;3371;3174
10.02.2016;21:00 - 21:15;3341;3122
10.02.2016;21:15 - 21:30;3295;3066
10.02.2016;21:30 - 21:45;3252;2987
10.02.2016;21:45 - 22:00;3241;2968
10.02.2016;22:00 - 22:15;3221;2963
10.02.2016;22:15 - 22:30;3167;2968
10.02.2016;22:30 - 22:45;3117;2961
10.02.2016;22:45 - 23:00;3146;2937
10.02.2016;23:00 - 23:15;3133;2915
10.02.2016;23:15 - 23:30;3125;2858
10.02.2016;23:30 - 23:45;3128;2843
10.02.2016;23:45 - 00:00;3152;2759
11.02.2016;00:00 - 00:15;2298;2667
11.02.2016;00:15 - 00:30;2269;2594
11.02.2016;00:30 - 00:45;2247;2517
11.02.2016;00:45 - 01:00;2221;2490
11.02.2016;01:00 - 01:15;2193;2450
11.02.2016;01:15 - 01:30;2218;2423
11.02.2016;01:30 - 01:45;2251;2354
11.02.2016;01:45 - 02:00;2272;2308
11.02.2016;02:00 - 02:15;2274;2229
11.02.2016;02:15 - 02:30;2259;2238
11.02.2016;02:30 - 02:45;2237;2240
11.02.2016;02:45 - 03:00;2220;2168
11.02.2016;03:00 - 03:15;2209;2146
11.02.2016;03:15 - 03:30;2230;2164
11.02.2016;03:30 - 03:45;2269;2143
11.02.2016;03:45 - 04:00;2310;2119
11.02.2016;04:00 - 04:15;2342;2102
11.02.2016;04:15 - 04:30;2347;2132
11.02.2016;04:30 - 04:45;2362;2105
11.02.2016;04:45 - 05:00;2348;2014
11.02.2016;05:00 - 05:15;2346;1952
11.02.2016;05:15 - 05:30;2306;1916
11.02.2016;05:30 - 05:45;2285;1890
11.02.2016;05:45 - 06:00;2243;1867
11.02.2016;06:00 - 06:15;2210;1845
11.02.2016;06:15 - 06:30;2176;1913
11.02.2016;06:30 - 06:45;2127;1945
11.02.2016;06:45 - 07:00;2073;1946
11.02.2016;07:00 - 07:15;2049;1932
11.02.2016;07:15 - 07:30;2040;1948
11.02.2016;07:30 - 07:45;2041;1963
11.02.2016;07:45 - 08:00;2037;1923
11.02.2016;08:00 - 08:15;2068;1831
11.02.2016;08:15 - 08:30;2112;1755
11.02.2016;08:30 - 08:45;2198;1712
11.02.2016;08:45 - 09:00;2280;1675
11.02.2016;09:00 - 09:15;2349;1630
11.02.2016;09:15 - 09:30;2346;1592
11.02.2016;09:30 - 09:45;2338;1596
11.02.2016;09:45 - 10:00;2334;1584
11.02.2016;10:00 - 10:15;2355;1612
11.02.2016;10:15 - 10:30;2338;1623
11.02.2016;10:30 - 10:45;2383;1664
11.02.2016;10:45 - 11:00;2421;1683
11.02.2016;11:00 - 11:15;2455;1681
11.02.2016;11:15 - 11:30;2431;1691
11.02.2016;11:30 - 11:45;2436;1796
11.02.2016;11:45 - 12:00;2444;1803
11.02.2016;12:00 - 12:15;2448;1827
11.02.2016;12:15 - 12:30;2407;1854
11.02.2016;12:30 - 12:45;2405;1892
11.02.2016;12:45 - 13:00;2408;1889
11.02.2016;13:00 - 13:15;2410;1812
11.02.2016;13:15 - 13:30;2401;1849
11.02.2016;13:30 - 13:45;2389;1764
11.02.2016;13:45 - 14:00;2371;1719
11.02.2016;14:00 - 14:15;2351;1638
11.02.2016;14:15 - 14:30;2296;1476
11.02.2016;14:30 - 14:45;2227;1383
11.02.2016;14:45 - 15:00;2149;1357
11.02.2016;15:00 - 15:15;2081;1265
11.02.2016;15:15 - 15:30;2008;1216
11.02.2016;15:30 - 15:45;1910;1157
11.02.2016;15:45 - 16:00;1809;1075
11.02.2016;16:00 - 16:15;1721;978
11.02.2016;16:15 - 16:30;1629;893
11.02.2016;16:30 - 16:45;1526;903
11.02.2016;16:45 - 17:00;1437;922
11.02.2016;17:00 - 17:15;1387;887
11.02.2016;17:15 - 17:30;1353;830
11.02.2016;17:30 - 17:45;1324;821
11.02.2016;17:45 - 18:00;1304;843
11.02.2016;18:00 - 18:15;1291;839
11.02.2016;18:15 - 18:30;1266;864
11.02.2016;18:30 - 18:45;1241;880
11.02.2016;18:45 - 19:00;1230;882
11.02.2016;19:00 - 19:15;1225;883
11.02.2016;19:15 - 19:30;1207;911
11.02.2016;19:30 - 19:45;1199;920
11.02.2016;19:45 - 20:00;1182;908
11.02.2016;20:00 - 20:15;1192;907
11.02.2016;20:15 - 20:30;1200;915
11.02.2016;20:30 - 20:45;1217;934
11.02.2016;20:45 - 21:00;1227;1048
11.02.2016;21:00 - 21:15;1237;1097
11.02.2016;21:15 - 21:30;1243;1133
11.02.2016;21:30 - 21:45;1264;1089
11.02.2016;21:45 - 22:00;1276;1085
11.02.2016;22:00 - 22:15;1276;1044
11.02.2016;22:15 - 22:30;1273;1053
11.02.2016;22:30 - 22:45;1268;1036
11.02.2016;22:45 - 23:00;1271;1016
11.02.2016;23:00 - 23:15;1273;987
11.02.2016;23:15 - 23:30;1277;978
11.02.2016;23:30 - 23:45;1260;855
11.02.2016;23:45 - 00:00;1250;827
12.02.2016;00:00 - 00:15;647;803
12.02.2016;00:15 - 00:30;639;772
12.02.2016;00:30 - 00:45;631;786
12.02.2016;00:45 - 01:00;622;741
12.02.2016;01:00 - 01:15;619;722
12.02.2016;01:15 - 01:30;615;688
12.02.2016;01:30 - 01:45;607;650
12.02.2016;01:45 - 02:00;620;603
12.02.2016;02:00 - 02:15;619;578
12.02.2016;02:15 - 02:30;609;543
12.02.2016;02:30 - 02:45;589;523
12.02.2016;02:45 - 03:00;565;527
12.02.2016;03:00 - 03:15;558;528
12.02.2016;03:15 - 03:30;553;512
12.02.2016;03:30 - 03:45;545;470
12.02.2016;03:45 - 04:00;533;457
12.02.2016;04:00 - 04:15;527;442
12.02.2016;04:15 - 04:30;519;425
12.02.2016;04:30 - 04:45;522;426
12.02.2016;04:45 - 05:00;521;430
12.02.2016;05:00 - 05:15;522;433
12.02.2016;05:15 - 05:30;520;437
12.02.2016;05:30 - 05:45;515;452
12.02.2016;05:45 - 06:00;513;492
12.02.2016;06:00 - 06:15;513;540
12.02.2016;06:15 - 06:30;516;569
12.02.2016;06:30 - 06:45;519;550
12.02.2016;06:45 - 07:00;530;557
12.02.2016;07:00 - 07:15;539;559
12.02.2016;07:15 - 07:30;536;524
12.02.2016;07:30 - 07:45;533;481
12.02.2016;07:45 - 08:00;540;442
12.02.2016;08:00 - 08:15;544;414
12.02.2016;08:15 - 08:30;544;399
12.02.2016;08:30 - 08:45;549;382
12.02.2016;08:45 - 09:00;543;373
12.02.2016;09:00 - 09:15;550;393
12.02.2016;09:15 - 09:30;565;405
12.02.2016;09:30 - 09:45;573;430
12.02.2016;09:45 - 10:00;598;465
12.02.2016;10:00 - 10:15;604;476
12.02.2016;10:15 - 10:30;580;467
12.02.2016;10:30 - 10:45;544;500
12.02.2016;10:45 - 11:00;502;507
12.02.2016;11:00 - 11:15;486;508
12.02.2016;11:15 - 11:30;471;483
12.02.2016;11:30 - 11:45;462;459
12.02.2016;11:45 - 12:00;484;487
12.02.2016;12:00 - 12:15;492;498
12.02.2016;12:15 - 12:30;462;523
12.02.2016;12:30 - 12:45;438;521
12.02.2016;12:45 - 13:00;419;532
12.02.2016;13:00 - 13:15;409;544
12.02.2016;13:15 - 13:30;408;561
12.02.2016;13:30 - 13:45;411;566
12.02.2016;13:45 - 14:00;408;586
12.02.2016;14:00 - 14:15;403;625
12.02.2016;14:15 - 14:30;420;647
12.02.2016;14:30 - 14:45;438;667
12.02.2016;14:45 - 15:00;442;670
12.02.2016;15:00 - 15:15;439;720
12.02.2016;15:15 - 15:30;442;772
12.02.2016;15:30 - 15:45;444;805
12.02.2016;15:45 - 16:00;433;856
12.02.2016;16:00 - 16:15;434;869
12.02.2016;16:15 - 16:30;433;920
12.02.2016;16:30 - 16:45;430;978
12.02.2016;16:45 - 17:00;431;1006
12.02.2016;17:00 - 17:15;435;1020
12.02.2016;17:15 - 17:30;427;1060
12.02.2016;17:30 - 17:45;419;1105
12.02.2016;17:45 - 18:00;414;1143
12.02.2016;18:00 - 18:15;402;1155
12.02.2016;18:15 - 18:30;392;1178
12.02.2016;18:30 - 18:45;383;1201
12.02.2016;18:45 - 19:00;362;1222
12.02.2016;19:00 - 19:15;351;1217
12.02.2016;19:15 - 19:30;342;1196
12.02.2016;19:30 - 19:45;339;1180
12.02.2016;19:45 - 20:00;336;1185
12.02.2016;20:00 - 20:15;344;1183
12.02.2016;20:15 - 20:30;328;1191
12.02.2016;20:30 - 20:45;308;1210
12.02.2016;20:45 - 21:00;296;1208
12.02.2016;21:00 - 21:15;285;1171
12.02.2016;21:15 - 21:30;277;1179
12.02.2016;21:30 - 21:45;257;1190
12.02.2016;21:45 - 22:00;259;1170
12.02.2016;22:00 - 22:15;252;1158
12.02.2016;22:15 - 22:30;252;1180
12.02.2016;22:30 - 22:45;243;1172
12.02.2016;22:45 - 23:00;249;1133
12.02.2016;23:00 - 23:15;254;1095
12.02.2016;23:15 - 23:30;258;1072
12.02.2016;23:30 - 23:45;247;1033
12.02.2016;23:45 - 00:00;264;1002
13.02.2016;00:00 - 00:15;360;945
13.02.2016;00:15 - 00:30;358;874
13.02.2016;00:30 - 00:45;359;818
13.02.2016;00:45 - 01:00;363;773
13.02.2016;01:00 - 01:15;369;729
13.02.2016;01:15 - 01:30;352;713
13.02.2016;01:30 - 01:45;344;678
13.02.2016;01:45 - 02:00;329;652
13.02.2016;02:00 - 02:15;326;642
13.02.2016;02:15 - 02:30;330;645
13.02.2016;02:30 - 02:45;362;645
13.02.2016;02:45 - 03:00;376;660
13.02.2016;03:00 - 03:15;381;674
13.02.2016;03:15 - 03:30;388;688
13.02.2016;03:30 - 03:45;410;685
13.02.2016;03:45 - 04:00;422;695
13.02.2016;04:00 - 04:15;433;695
13.02.2016;04:15 - 04:30;435;682
13.02.2016;04:30 - 04:45;426;653
13.02.2016;04:45 - 05:00;437;650
13.02.2016;05:00 - 05:15;441;650
13.02.2016;05:15 - 05:30;453;669
13.02.2016;05:30 - 05:45;485;704
13.02.2016;05:45 - 06:00;505;728
13.02.2016;06:00 - 06:15;548;697
13.02.2016;06:15 - 06:30;550;674
13.02.2016;06:30 - 06:45;557;683
13.02.2016;06:45 - 07:00;568;704
13.02.2016;07:00 - 07:15;606;726
13.02.2016;07:15 - 07:30;616;752
13.02.2016;07:30 - 07:45;626;752
13.02.2016;07:45 - 08:00;660;765
13.02.2016;08:00 - 08:15;693;780
13.02.2016;08:15 - 08:30;707;798
13.02.2016;08:30 - 08:45;737;783
13.02.2016;08:45 - 09:00;767;774
13.02.2016;09:00 - 09:15;795;792
13.02.2016;09:15 - 09:30;812;769
13.02.2016;09:30 - 09:45;819;757
13.02.2016;09:45 - 10:00;859;743
13.02.2016;10:00 - 10:15;909;749
13.02.2016;10:15 - 10:30;932;747
13.02.2016;10:30 - 10:45;926;723
13.02.2016;10:45 - 11:00;935;709
13.02.2016;11:00 - 11:15;963;703
13.02.2016;11:15 - 11:30;972;718
13.02.2016;11:30 - 11:45;973;749
13.02.2016;11:45 - 12:00;991;766
13.02.2016;12:00 - 12:15;1003;767
13.02.2016;12:15 - 12:30;1024;807
13.02.2016;12:30 - 12:45;1038;868
13.02.2016;12:45 - 13:00;1095;904
13.02.2016;13:00 - 13:15;1107;983
13.02.2016;13:15 - 13:30;1136;1093
13.02.2016;13:30 - 13:45;1139;1192
13.02.2016;13:45 - 14:00;1179;1263
13.02.2016;14:00 - 14:15;1210;1308
13.02.2016;14:15 - 14:30;1295;1344
13.02.2016;14:30 - 14:45;1352;1391
13.02.2016;14:45 - 15:00;1396;1478
13.02.2016;15:00 - 15:15;1457;1554
13.02.2016;15:15 - 15:30;1509;1643
13.02.2016;15:30 - 15:45;1557;1724
13.02.2016;15:45 - 16:00;1573;1772
13.02.2016;16:00 - 16:15;1635;1821
13.02.2016;16:15 - 16:30;1686;1929
13.02.2016;16:30 - 16:45;1760;2077
13.02.2016;16:45 - 17:00;1724;2102
13.02.2016;17:00 - 17:15;1769;2078
13.02.2016;17:15 - 17:30;1811;2138
13.02.2016;17:30 - 17:45;1851;2143
13.02.2016;17:45 - 18:00;1881;2159
13.02.2016;18:00 - 18:15;1922;2160
13.02.2016;18:15 - 18:30;1960;2198
13.02.2016;18:30 - 18:45;2041;2177
13.02.2016;18:45 - 19:00;2101;2169
13.02.2016;19:00 - 19:15;2128;2177
13.02.2016;19:15 - 19:30;2156;2146
13.02.2016;19:30 - 19:45;2162;2135
13.02.2016;19:45 - 20:00;2172;2135
13.02.2016;20:00 - 20:15;2188;2078
13.02.2016;20:15 - 20:30;2166;1970
13.02.2016;20:30 - 20:45;2150;1933
13.02.2016;20:45 - 21:00;2052;1922
13.02.2016;21:00 - 21:15;1974;1944
13.02.2016;21:15 - 21:30;1929;1928
13.02.2016;21:30 - 21:45;1880;1973
13.02.2016;21:45 - 22:00;1811;2001
13.02.2016;22:00 - 22:15;1750;1991
13.02.2016;22:15 - 22:30;1685;2038
13.02.2016;22:30 - 22:45;1620;2031
13.02.2016;22:45 - 23:00;1540;2089
13.02.2016;23:00 - 23:15;1509;2123
13.02.2016;23:15 - 23:30;1472;2105
13.02.2016;23:30 - 23:45;1403;2035
13.02.2016;23:45 - 00:00;1351;1968
14.02.2016;00:00 - 00:15;2205;1981
14.02.2016;00:15 - 00:30;2274;1987
14.02.2016;00:30 - 00:45;2309;2000
14.02.2016;00:45 - 01:00;2375;1989
14.02.2016;01:00 - 01:15;2430;1996
14.02.2016;01:15 - 01:30;2495;1984
14.02.2016;01:30 - 01:45;2525;1928
14.02.2016;01:45 - 02:00;2586;1962
14.02.2016;02:00 - 02:15;2619;1944
14.02.2016;02:15 - 02:30;2686;1921
14.02.2016;02:30 - 02:45;2772;1909
14.02.2016;02:45 - 03:00;2851;1938
14.02.2016;03:00 - 03:15;2877;1914
14.02.2016;03:15 - 03:30;2900;2013
14.02.2016;03:30 - 03:45;2930;2026
14.02.2016;03:45 - 04:00;2946;2056
14.02.2016;04:00 - 04:15;2950;2056
14.02.2016;04:15 - 04:30;2945;2060
14.02.2016;04:30 - 04:45;2912;2079
14.02.2016;04:45 - 05:00;2865;2048
14.02.2016;05:00 - 05:15;2845;2009
14.02.2016;05:15 - 05:30;2834;1981
14.02.2016;05:30 - 05:45;2793;1983
14.02.2016;05:45 - 06:00;2741;2017
14.02.2016;06:00 - 06:15;2708;1998
14.02.2016;06:15 - 06:30;2658;1922
14.02.2016;06:30 - 06:45;2594;1780
14.02.2016;06:45 - 07:00;2528;1667
14.02.2016;07:00 - 07:15;2487;1608
14.02.2016;07:15 - 07:30;2467;1687
14.02.2016;07:30 - 07:45;2451;1698
14.02.2016;07:45 - 08:00;2443;1641
14.02.2016;08:00 - 08:15;2430;1607
14.02.2016;08:15 - 08:30;2413;1516
14.02.2016;08:30 - 08:45;2404;1486
14.02.2016;08:45 - 09:00;2389;1378
14.02.2016;09:00 - 09:15;2370;1317
14.02.2016;09:15 - 09:30;2369;1302
14.02.2016;09:30 - 09:45;2362;1223
14.02.2016;09:45 - 10:00;2355;1148
14.02.2016;10:00 - 10:15;2361;1145
14.02.2016;10:15 - 10:30;2347;1118
14.02.2016;10:30 - 10:45;2296;1068
14.02.2016;10:45 - 11:00;2246;987
14.02.2016;11:00 - 11:15;2209;930
14.02.2016;11:15 - 11:30;2197;866
14.02.2016;11:30 - 11:45;2162;881
14.02.2016;11:45 - 12:00;2130;892
14.02.2016;12:00 - 12:15;2121;893
14.02.2016;12:15 - 12:30;2096;865
14.02.2016;12:30 - 12:45;2052;870
14.02.2016;12:45 - 13:00;2003;837
14.02.2016;13:00 - 13:15;1970;811
14.02.2016;13:15 - 13:30;1918;775
14.02.2016;13:30 - 13:45;1837;730
14.02.2016;13:45 - 14:00;1748;740
14.02.2016;14:00 - 14:15;1698;754
14.02.2016;14:15 - 14:30;1654;789
14.02.2016;14:30 - 14:45;1588;806
14.02.2016;14:45 - 15:00;1512;790
14.02.2016;15:00 - 15:15;1447;778
14.02.2016;15:15 - 15:30;1373;709
14.02.2016;15:30 - 15:45;1270;616
14.02.2016;15:45 - 16:00;1170;603
14.02.2016;16:00 - 16:15;1077;583
14.02.2016;16:15 - 16:30;1048;520
14.02.2016;16:30 - 16:45;998;492
14.02.2016;16:45 - 17:00;962;496
14.02.2016;17:00 - 17:15;919;515
14.02.2016;17:15 - 17:30;879;516
14.02.2016;17:30 - 17:45;837;495
14.02.2016;17:45 - 18:00;763;502
14.02.2016;18:00 - 18:15;738;524
14.02.2016;18:15 - 18:30;742;529
14.02.2016;18:30 - 18:45;741;543
14.02.2016;18:45 - 19:00;742;591
14.02.2016;19:00 - 19:15;715;636
14.02.2016;19:15 - 19:30;708;626
14.02.2016;19:30 - 19:45;686;647
14.02.2016;19:45 - 20:00;676;676
14.02.2016;20:00 - 20:15;670;649
14.02.2016;20:15 - 20:30;668;606
14.02.2016;20:30 - 20:45;661;594
14.02.2016;20:45 - 21:00;660;586
14.02.2016;21:00 - 21:15;651;588
14.02.2016;21:15 - 21:30;653;595
14.02.2016;21:30 - 21:45;657;541
14.02.2016;21:45 - 22:00;659;536
14.02.2016;22:00 - 22:15;653;536
14.02.2016;22:15 - 22:30;639;534
14.02.2016;22:30 - 22:45;640;537
14.02.2016;22:45 - 23:00;624;563
14.02.2016;23:00 - 23:15;612;583
14.02.2016;23:15 - 23:30;599;608
14.02.2016;23:30 - 23:45;614;623
14.02.2016;23:45 - 00:00;621;654
15.02.2016;00:00 - 00:15;650;663
15.02.2016;00:15 - 00:30;662;657
15.02.2016;00:30 - 00:45;672;684
15.02.2016;00:45 - 01:00;693;683
15.02.2016;01:00 - 01:15;702;685
